ad_id,subject,price_byn,company_ad,list_time,condition,brand,processor,rom_volume,rom_type,diagonal,os,videocard,videocard_brand,region,gaming_laptop,matrix_type,display_resolution,ram_volume,ram_type,battery_life
1066364837,Ноутбук HONOR MagicBook X 16 2024,1550.0,False,2026-04-25T19:43:13Z,Б/у,Honor,Intel Core i5,512 Гб,SSD,16'' / 40.6 см,,Встроенная,,Минск,,IPS,1920 х 1080,16 Гб,LPDDR4X,
1066364770,Ноутбук HP Elitebook840 G4,700.0,False,2026-04-25T19:42:05Z,Новое,HP,Intel Core i7,512 Гб,SSD,14.0'' / 35.6 см,Windows 10,Встроенная,Intel UHD Graphics,Гомельская область,,IPS,1366 х 768,16 Гб,DDR4,10 и более часов
1066364697,Ноутбук Lenovo g50-30 (80G001T0UA),350.0,False,2026-04-25T19:40:44Z,Б/у,Lenovo,,128 ГБ и менее,SSD,15.6'' / 39.6 см,Windows 10,Встроенная,,Минск,,TN + Film,1366 х 768,4 Гб,,
1063954085,MacBook Pro 15 A1707 i7/16GB/256GB TouchBar Silver,1200.0,False,2026-04-25T19:40:15Z,Б/у,Apple,Intel Core i7,256 ГБ,SSD,15.0'' / 38.1 см,Mac OS,,,Минск,,,,16 Гб,,4-6 часов
1066363809,ASUS ZenBook UX510 i7 / 16GB / GTX950M / SSD 500GB,1000.0,False,2026-04-25T19:36:37Z,Б/у,ASUS,,,,,,,,Гродненская область,,,,,,
1066364335,Ноутбук acer,350.0,False,2026-04-25T19:33:53Z,Б/у,Acer,Intel Core i3,256 ГБ,HDD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,,Могилевская область,,TN + Film,1366 х 768,4 Гб,DDR3,1 час и меньше
1049077620,Продам Ноутбук Dell XPS 14 9440,5500.0,False,2026-04-25T19:26:13Z,Б/у,Dell,Intel Core i7,1000 Гб,,14.0'' / 35.6 см,Windows 11,Встроенная,,Минск,,OLED,3200 х 1800,32 Гб,LPDDR5X,4-6 часов
1065454580,Игровой ноутбук Lenovo Legion 5 15ACH6H,2300.0,False,2026-04-25T19:24:17Z,Б/у,Lenovo,AMD Ryzen 5,1000 Гб,SSD,15.6'' / 39.6 см,Windows 11,Дискретная,NVIDIA GeForce RTX 3060 6 ГБ,Брестская область,Да,IPS,1920 х 1080,16 Гб,DDR4,1-2 часа
1066363792,Нетбук acer,50.0,False,2026-04-25T19:23:16Z,Б/у,Acer,Другой,512 Гб,HDD,10.1'' / 25.7 см,Windows 7,Встроенная,,Минск,,TN + Film,1024 х 600,2 Гб,DDR2,1-2 часа
1059956084,MacBook Air 2020    I3/8/256,990.0,False,2026-04-25T19:23:09Z,Б/у,Apple,Intel Core i3,256 ГБ,SSD,,,,,Минск,,,,8 Гб,,
1046906891,"ASUS X509JB-EJ078, 15.6/ Intel Core i3 1005G1/ 8 ГБ/ SSD 256ГБ/ Nvidia MX110 2Gb",739.0,True,2026-04-25T19:21:38Z,Б/у,ASUS,Intel Core i5,256 ГБ,SSD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce MX110 2 ГБ,Брестская область,,TN + Film,1920 х 1080,8 Гб,DDR4,1-2 часа
1061816176,Игровой ноутбук ASUS TUF Gaming A18  FA808UH-S8033,4400.0,False,2026-04-25T19:21:14Z,Б/у,ASUS,AMD Ryzen 7,1000 Гб,SSD,18.4'' / 47 см,Windows 11,Встроенная,,Минск,Да,IPS,1920 х 1200,16 Гб,DDR5,
1066363659,Ноутбук Toshiba 17'' 8гб. i5-4200m. ssd+hdd. 740m.,475.0,False,2026-04-25T19:20:32Z,Б/у,,,,,17.3'' / 43.9 см,,,,Гомельская область,,,,,,
1066363386,Игровой ноутбук,1290.0,False,2026-04-25T19:15:34Z,Б/у,,,,,,,,,Могилевская область,,,,,,
1066363262,Ноутбук HP Elitebook840 g7,1550.0,False,2026-04-25T19:13:17Z,Новое,HP,Intel Core i7,1000 Гб,SSD,14.0'' / 35.6 см,Windows 10,Встроенная,Intel UHD Graphics,Гомельская область,,IPS,1920 х 1080,32 Гб,DDR4,6-10 часов
1066363078,Ноутбук HP 4720s 17 дюймов,199.0,False,2026-04-25T19:10:15Z,Б/у,HP,Intel Core i3,,HDD,17.3'' / 43.9 см,Windows 7,Дискретная,,Минская область,,,1600 х 900,4 Гб,DDR3,
1066362861,Dell Inspiron 15 7000 Gaming / i7-7700HQ / 16GB / SSD+HDD / GTX 1050 Ti,1200.0,True,2026-04-25T19:06:30Z,Б/у,Dell,Intel Core i7,1000 Гб,HDD + SSD,15.6'' / 39.6 см,Windows 11,Встроенная и дискретная,NVIDIA GeForce GTX 1050 Ti 4 ГБ,Гомельская область,Да,IPS,1920 х 1080,16 Гб,DDR4,1-2 часа
1065562559,"15.6 Dell 15 3542 pentium 3558,4гб, nvidia 820 2гб",280.0,False,2026-04-25T19:05:22Z,Б/у,,,,,,,,,Гродненская область,,,,,,
1066362620,ASUS FX570Z,2500.0,False,2026-04-25T19:02:40Z,Б/у,,,,,,,,,Минск,Да,,,,,
1066362495,Ноутбук Lenovo AMD Ryzen 3 3250U,700.0,False,2026-04-25T19:00:38Z,Б/у,Lenovo,AMD Ryzen 3,256 ГБ,SSD,15.6'' / 39.6 см,Windows 11,Встроенная,,Гомельская область,,TN + Film,1920 х 1080,8 Гб,DDR4,1 час и меньше
1063023782,Ноутбук,700.0,False,2026-04-25T18:55:29Z,Б/у,HP,,,,,,,,Брестская область,Да,IPS,,,,
1066362127,Ноутбук Toshiba Satellite L650-13C,99.0,False,2026-04-25T18:54:32Z,Б/у,Toshiba,Intel Core i3,512 Гб,HDD,15.6'' / 39.6 см,Windows 10,Встроенная,,Гродненская область,,TN + Film,1366 х 768,6 Гб,DDR3,
1066361892,Ноутбук ASUS VivoBook X507U (2 видеокарты),399.0,False,2026-04-25T18:50:26Z,Б/у,ASUS,Intel Core i3,,HDD + SSD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce MX110 2 ГБ,Гродненская область,Да,TN + Film,1920 х 1080,8 Гб,DDR4,1 час и меньше
1066361811,Ноутбук Dell Intel core i5,160.0,False,2026-04-25T18:49:10Z,Б/у,,,,,,,,,Витебская область,,,,,,
1066361802,Ноутбук 2024 года с полным комплектом,1150.0,False,2026-04-25T18:49:03Z,Б/у,,,,,,,,,Витебская область,,,,,,
1066361803,Наутбук,2030.0,False,2026-04-25T18:49:03Z,Новое,Другой,,,,,,,,Витебская область,,,,,,
1065862123,Ноутбук HP Probook 445 G9,1070.0,False,2026-04-25T18:47:55Z,Б/у,HP,AMD Ryzen 3,128 ГБ и менее,SSD,14.0'' / 35.6 см,Windows 11,,,Гродненская область,,,,8 Гб,,
1066361461,Ноутбук,350.0,False,2026-04-25T18:43:50Z,Б/у,Lenovo,Intel Core i5,128 ГБ и менее,SSD,,Windows 10,Встроенная и дискретная,NVIDIA GeForce 810M 2 ГБ,Витебская область,,,,16 Гб,DDR3,1-2 часа
1066360789,Нотутбунк ингранвой,3.0,False,2026-04-25T18:34:39Z,Б/у,ASUS,Intel Xeon,128 ГБ и менее,HDD,10.1'' / 25.7 см,Windows XP,Дискретная,AMD Radeon 520 2 ГБ,Витебская область,,TN + Film,1024 х 600,1 Гб,DDR2,1 час и меньше
1063962611,ASUS Vivobook 16 X1605VA i5 13500H,1600.0,False,2026-04-25T18:33:04Z,Б/у,ASUS,Intel Core i5,512 Гб,SSD,16'' / 40.6 см,Windows 11,Встроенная,,Витебская область,,IPS,1920 х 1200,16 Гб,DDR4,4-6 часов
1066360333,Игровой ноутбук Legion,850.0,False,2026-04-25T18:28:57Z,Б/у,,Intel Core i7,1000 Гб,HDD,,Windows 11,Встроенная,NVIDIA GeForce GTX 1050 Ti 4 ГБ,Минск,,,1920 х 1080,8 Гб,DDR4,1-2 часа
1063516507,Ноутбук.acer cor i3,160.0,False,2026-04-25T18:27:12Z,Б/у,Acer,Intel Core i3,,HDD,15.6'' / 39.6 см,,Встроенная,,Могилевская область,,,,4 Гб,DDR3,2-4 часа
1062132276,Ноутбук MacBook Pro 13 2011,550.0,False,2026-04-25T18:25:47Z,Б/у,Apple,Intel Core i5,,HDD,13.3'' / 33.8 см,Windows 11,Встроенная,Intel UHD Graphics,Минск,,,1280 х 800,16 Гб,DDR3,
1066359922,MacBook Air,490.0,False,2026-04-25T18:24:31Z,Б/у,Apple,Intel Core i5,128 ГБ и менее,SSD,13.3'' / 33.8 см,Mac OS,,,Минск,,,,8 Гб,,4-6 часов
1066359824,Ноут,80.0,False,2026-04-25T18:23:01Z,Б/у,,,,,,,,,Минск,,,,,,
1066359794,Ноутбук honor magicbook x14,950.0,False,2026-04-25T18:22:33Z,Б/у,,,,,,,,,Минск,,,,,,
1066359564,Игровой ноутбук ASUS TUF Gaming FX504GD СРОЧНО,940.0,False,2026-04-25T18:19:15Z,Б/у,ASUS,Intel Core i5,1000 Гб,HDD + SSD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce GTX 1050 4 ГБ,Брестская область,Да,IPS,1920 х 1080,8 Гб,DDR4,2-4 часа
1063070284,Ноутбук HP EliteBook 6G1i 14 Новый,2650.0,False,2026-04-25T18:11:53Z,Новое,HP,Intel Core i5,,,,,,,Минск,,,,16 Гб,,
1066359048,Ноутбук,2.0,False,2026-04-25T18:11:21Z,Новое,MSI,Intel Core i9,2000 ГБ и более,HDD + SSD,20.0'' / 50.8 см,Windows 11,Дискретная,NVIDIA Quadro RTX 5000 Max-Q 16 ГБ,Витебская область,Да,OLED,3840 х 2160,64 Гб,LPDDR5X,10 и более часов
1066358907,Ноутбук Acer Aspire 5536,230.0,False,2026-04-25T18:09:16Z,Б/у,Acer,AMD Athlon X2,512 Гб,,15.6'' / 39.6 см,Windows 7,Дискретная,,Витебская область,,TN + Film,1366 х 768,4 Гб,DDR2,1 час и меньше
1066358898,Asus core i5,130.0,False,2026-04-25T18:09:01Z,Б/у,,Intel Core i5,,,,,,,Минск,,,,,,
1066358839,Ноутбук леново,300.0,False,2026-04-25T18:07:58Z,Б/у,Lenovo,,,,,,,,Минск,,,,,,
1066358584,Ноутбук,50.0,False,2026-04-25T18:03:44Z,Б/у,Acer,,,HDD,,Windows 7,Встроенная,,Могилевская область,,,1366 х 768,4 Гб,,
1066358433,MacBook Air 13,750.0,False,2026-04-25T18:01:06Z,Б/у,Apple,,,,,,,,Минск,,,,,,
1066358378,ASUS X515JA-BQ4082,600.0,False,2026-04-25T18:00:16Z,Б/у,ASUS,Intel Core i5,512 Гб,SSD,15.6'' / 39.6 см,Windows 11,Встроенная,,Минск,,IPS,1920 х 1080,8 Гб,DDR4,2-4 часа
1066012684,-i7-8g-150g,455.0,False,2026-04-25T17:56:56Z,Б/у,HP,Intel Core i7,,,17.3'' / 43.9 см,,Встроенная и дискретная,,Минск,Да,,1600 х 900,8 Гб,,
1065678971,Мобильная рабочая станция Dell Precision 7740,3980.0,False,2026-04-25T17:53:15Z,Б/у,Dell,Intel Core i7,512 Гб,SSD,17.3'' / 43.9 см,Windows 10,Дискретная,NVIDIA Quadro RTX 5000 16 ГБ,Минск,Да,IPS,1920 х 1080,32 Гб,DDR5,4-6 часов
1066357693,Ноутбук Асус,600.0,False,2026-04-25T17:49:41Z,Б/у,,,,,,,,,Минская область,,,,,,
1062666002,MacBook Pro 13 M2 8/256 93 %акб,2120.0,False,2026-04-25T17:44:34Z,Б/у,Apple,Apple M2,256 ГБ,SSD,13.3'' / 33.8 см,Mac OS,,,Минск,,OLED,,8 Гб,LPDDR4,6-10 часов
1064818718,MacBook Pro 13 M1 8/512 акб 90 проц,1780.0,False,2026-04-25T17:43:53Z,Б/у,Apple,Apple M1,512 Гб,SSD,13.3'' / 33.8 см,Mac OS,,,Минск,,OLED,2560 х 1600,8 Гб,DDR4,6-10 часов
1066357300,Игровой Ноутбук,1420.0,False,2026-04-25T17:43:35Z,Б/у,Acer,AMD Ryzen 5,512 Гб,SSD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce RTX 3050 4 ГБ,Витебская область,Да,,,8 Гб,DDR4,1-2 часа
1059601388,MacBook Pro 16 M1 Pro 32/512 87 %акб,3500.0,False,2026-04-25T17:42:43Z,Б/у,Apple,Apple M1 Pro,512 Гб,SSD,16'' / 40.6 см,Mac OS,,,Минск,,IPS,3200 х 1800,32 Гб,,10 и более часов
1066357145,ASUS TUF A15 / R7-7435HS,2459.0,False,2026-04-25T17:41:11Z,Б/у,,AMD Ryzen 7,,,15.6'' / 39.6 см,,Встроенная и дискретная,NVIDIA GeForce RTX 3050 4 ГБ,Минск,Да,,,,,
1066357042,MacBook Air M2 Space Gray,1770.0,False,2026-04-25T17:39:41Z,Б/у,Apple,Apple M2,256 ГБ,SSD,,Mac OS,,,Минск,,,,8 Гб,,10 и более часов
1061688783,Ноутбук MacBook Air 2020 M1 8/256,1550.0,False,2026-04-25T17:37:23Z,Б/у,Apple,Apple M1,256 ГБ,SSD,13.3'' / 33.8 см,Mac OS,Встроенная,,Минск,,,,8 Гб,,
1066356776,Ноутбук,500.0,False,2026-04-25T17:37:03Z,Б/у,ASUS,,,,,,,,Брестская область,,,,,,
1066356733,Игровой ноутбук,1700.0,False,2026-04-25T17:36:09Z,Б/у,Lenovo,AMD Ryzen 5,512 Гб,SSD,,Windows 10,Встроенная и дискретная,NVIDIA GeForce GTX 1650 4 ГБ,Витебская область,Да,,1920 х 1080,16 Гб,DDR4,6-10 часов
1065329354,Игровой ноутбук ASUS rogstrix,2000.0,False,2026-04-25T17:35:10Z,Б/у,ASUS,AMD Ryzen 7,1000 Гб,SSD,15.6'' / 39.6 см,,Дискретная,NVIDIA GeForce RTX 3060 6 ГБ,Могилевская область,Да,IPS,,16 Гб,DDR4,
1064821011,Acer Switch 12'' 2K IPS /Core i5-6200U/256Gb SSD,0.0,False,2026-04-25T17:32:12Z,Б/у,Acer,Intel Core i5,256 ГБ,SSD,12.0'' / 30.5 см,Windows 10,Встроенная,,Брестская область,,IPS,,4 Гб,,4-6 часов
1066356484,Нетбук Lenovo IdeaPad S206,150.0,False,2026-04-25T17:31:46Z,Б/у,Lenovo,Другой,512 Гб,HDD,11.6'' / 29.5 см,Windows 7,Встроенная,,Гродненская область,,TN + Film,1366 х 768,4 Гб,DDR3,
1057607259,Игровой ноутбук Lenovo LOQ 15IAX9 83GS00EKRK,3000.0,False,2026-04-25T17:30:15Z,Б/у,Lenovo,Intel Core i5,512 Гб,,15.6'' / 39.6 см,,Встроенная и дискретная,NVIDIA GeForce RTX 4060 8 ГБ,Минск,Да,,1920 х 1080,24 Гб,,
1065335638,Игровой ноутбук Lenovo Legion 5 15ITH6 i7 3050Ti,1999.0,False,2026-04-25T17:30:03Z,Б/у,Lenovo,Intel Core i7,512 Гб,SSD,15.6'' / 39.6 см,Windows 11,Встроенная и дискретная,NVIDIA GeForce RTX 3050 Ti 4 ГБ,Минск,Да,IPS,1920 х 1080,16 Гб,DDR4,2-4 часа
1066356168,Ноутбук HP Probook 4540s,200.0,False,2026-04-25T17:27:17Z,Б/у,HP,Intel Core i3,512 Гб,HDD,15.6'' / 39.6 см,Windows 10,Встроенная,Intel UHD Graphics,Минск,,TN + Film,1920 х 1080,8 Гб,,1 час и меньше
1064208053,Ноутбук Lenovo IdeaPad 320-ISK DDR4 8 ГБ,450.0,False,2026-04-25T17:23:21Z,Б/у,,,,SSD,15.6'' / 39.6 см,,,,Минск,,,,,DDR4,2-4 часа
1066355818,"Ноутбук (2k экран, Ryzen 5 7430U, 16GB, 512 SSD)",1200.0,False,2026-04-25T17:21:46Z,Б/у,,,,,,,,,Витебская область,,,,,,
1060539470,Macbook Pro 16'' 2019,1500.0,False,2026-04-25T17:19:32Z,Б/у,Apple,Intel Core i7,512 Гб,SSD,16'' / 40.6 см,Mac OS,Встроенная,AMD Radeon Pro 5300M 4ГБ,Минск,,IPS,1920 х 1200,16 Гб,DDR4,10 и более часов
1066355659,Ноутбук 17.3'' Acer Predator i7/16/521Gb/RTX 2070,1800.0,False,2026-04-25T17:19:27Z,Б/у,Acer,Intel Core i7,512 Гб,SSD,17.3'' / 43.9 см,Windows 11,Дискретная,NVIDIA GeForce RTX 2070 Max-Q 8 ГБ,Брестская область,Да,IPS,1920 х 1080,16 Гб,DDR4,1-2 часа
1049684751,MacBook Pro 13 i7/8Gb/500 на Windows 10,350.0,False,2026-04-25T17:17:19Z,Б/у,Apple,Intel Core i7,512 Гб,HDD,13.3'' / 33.8 см,Windows 10,Встроенная,,Минск,,IPS,1280 х 800,8 Гб,DDR3,1-2 часа
1063787697,CoreBook X,0.0,False,2026-04-25T17:06:44Z,Новое,,Intel Core i5,512 Гб,Прочее,,Windows 11,,,Брестская область,Да,IPS,,64 Гб,DDR4,
1066354511,Lenovo  15.6 две видеокарты  1000гб,800.0,False,2026-04-25T17:04:17Z,Б/у,Lenovo,Intel Core Pentium,1000 Гб,,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,AMD Radeon 530 4 ГБ,Брестская область,Да,,1920 х 1080,8 Гб,DDR4,4-6 часов
1066354365,Lenovo Lecoo Pro 14 2025 32/ 1 тб Ryzen 7 Н255,2850.0,False,2026-04-25T17:02:30Z,Новое,Lenovo,AMD Ryzen 7,1000 Гб,SSD,14.0'' / 35.6 см,Windows 11,,,Минск,,,,32 Гб,DDR5,
1066354305,Ноутбук Lenovo V15-IIL 82C500FPRU,500.0,False,2026-04-25T17:01:49Z,Б/у,Lenovo,Intel Core i3,256 ГБ,SSD,15.6'' / 39.6 см,Windows 11,Встроенная,,Минск,,TN + Film,1920 х 1080,8 Гб,DDR4,6-10 часов
1065612613,HP Omen 16 / i5-13 Gen / RTX 4060 / 16/512 / 240Hz,2890.0,False,2026-04-25T16:49:27Z,Б/у,,,,,,,,,Минск,,,,16 Гб,,
1066350521,Игровой Ноутбук Thunderbot Gravity 16 G2 pro 32gb,4300.0,False,2026-04-25T16:49:23Z,Б/у,ASUS,Intel Core i9,1000 Гб,SSD,16'' / 40.6 см,,,NVIDIA GeForce RTX 5060,Минск,Да,,,32 Гб,,10 и более часов
1066350359,Lenovo ThinkPad T14 Gen 3 AMD,1600.0,False,2026-04-25T16:47:10Z,Б/у,Lenovo,AMD Ryzen 5,256 ГБ,SSD,14.0'' / 35.6 см,Windows 10,Встроенная,,Минск,,IPS,1920 х 1200,16 Гб,LPDDR5,
1065202234,Lenovo Think Book i5-10210u/8/256ssd,980.0,False,2026-04-25T16:45:42Z,Б/у,Lenovo,Intel Core i5,256 ГБ,SSD,15.6'' / 39.6 см,Windows 10,Встроенная,,Брестская область,,IPS,1920 х 1080,8 Гб,DDR4,4-6 часов
1048281177,Acer Nitro V15 Ryzen 7 7735HS DDR5 RTX4060 ,2600.0,False,2026-04-25T16:43:29Z,Б/у,Acer,AMD Ryzen 7,1000 Гб,SSD,15.6'' / 39.6 см,Windows 11,,NVIDIA GeForce RTX 4060 8 ГБ,Минск,Да,IPS,1920 х 1080,16 Гб,DDR5,
1066349115,MacBook PRO 14.2 (M4) 16/512,4200.0,False,2026-04-25T16:37:33Z,Новое,Apple,,,,,,,,Гомельская область,,OLED,,,,
1066348765,Ноутбук ASUS,0.0,False,2026-04-25T16:37:30Z,Б/у,ASUS,,,,17.3'' / 43.9 см,Windows 10,,,Гомельская область,,,1600 х 900,,,
1066348899,HP ProBook 430 G5,400.0,False,2026-04-25T16:34:53Z,Б/у,HP,Intel Core i3,128 ГБ и менее,SSD,13.3'' / 33.8 см,Windows 10,Встроенная,,Гродненская область,,IPS,,8 Гб,DDR4,4-6 часов
196479116,Ноутбуки б.у. с гарантией от 250р в Борисове,500.0,True,2026-04-25T16:34:42Z,Б/у,ASUS,Intel Pentium Silver,256 ГБ,SSD,15.6'' / 39.6 см,Windows 10,Встроенная,,Минская область,,,1366 х 768,8 Гб,,2-4 часа
1066348602,Ноутбук,100.0,False,2026-04-25T16:30:54Z,Б/у,,,,,,,,,Могилевская область,Да,,,,,
1066348565,Ноутбук MSI katana,2500.0,False,2026-04-25T16:30:23Z,Б/у,,Intel Core i5,,,17.3'' / 43.9 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce RTX 4050 6 ГБ,Гомельская область,Да,IPS,1920 х 1080,16 Гб,,1-2 часа
1066347990,Ноутбук ACER Aspire 5 A515-51G-57P0,750.0,False,2026-04-25T16:28:52Z,Б/у,Acer,Intel Core i5,1000 Гб,HDD,15.6'' / 39.6 см,Windows 10,Дискретная,NVIDIA GeForce MX150 2 ГБ,Витебская область,,IPS,1920 х 1080,8 Гб,DDR4,6-10 часов
1064765006,Ноутбук,500.0,False,2026-04-25T16:28:15Z,Б/у,ASUS,Intel Celeron,2000 ГБ и более,Прочее,15.5'' / 39.4 см,Windows 10,Встроенная и дискретная,Intel UHD Graphics,Могилевская область,Да,IPS,1280 х 800,4 Гб,DDR2,2-4 часа
1066348227,"Lenovo ThinkPad X1 Tablet ,i7-8th",900.0,False,2026-04-25T16:26:14Z,Б/у,Lenovo,Intel Core i7,512 Гб,SSD,,Windows 11,Встроенная,,Брестская область,,IPS,,16 Гб,LPDDR4,
1060672562,MSI Stealth 16 AI Studio / RTX 4070 / 240Hz / 32GB,3650.0,False,2026-04-25T16:25:48Z,Б/у,MSI,,1000 Гб,SSD,16'' / 40.6 см,Windows 11,Встроенная,NVIDIA GeForce RTX 4070 8 ГБ,Минск,Да,IPS,2560 х 1600,32 Гб,DDR5,
1066347969,"Dell 15,6’’/i3-7020U/DDR4 8Gb/SSD M.2",450.0,False,2026-04-25T16:22:44Z,Б/у,Dell,Intel Core i3,128 ГБ и менее,SSD,15.6'' / 39.6 см,Windows 10,Встроенная,,Минск,,,1366 х 768,8 Гб,DDR4,1-2 часа
1066346640,игровой ноутбук,1450.0,False,2026-04-25T16:17:02Z,Б/у,ASUS,AMD Ryzen 5,1000 Гб,HDD + SSD,,Windows 10,Встроенная,NVIDIA GeForce GTX 1650 4 ГБ,Витебская область,Да,,1920 х 1080,16 Гб,DDR4,
1062152028,"MacBook Air 15,3 дюймовый, чип М2",2200.0,False,2026-04-25T16:15:03Z,Б/у,Apple,Apple M2,,,15.0'' / 38.1 см,Mac OS,,,Минск,,,,8 Гб,LPDDR5,
1066346249,Игровой ноутбук Lenovo LOQ 15ARP9 (144Hz/Ryzen 7 7435HS/RTX 4050 6GB/16GB/SSD 512GB),2490.0,True,2026-04-25T16:13:44Z,Б/у,,,,,,,,,Минск,,,,,,
1066345471,Ноутбук Lenovo LOQ 15IAX9 83GS005NRK,1799.0,True,2026-04-25T16:10:28Z,Б/у,,,,,,,,,Минск,,,,,,
1066345485,Ноутбук Tecno Megabook T1 T15DA 4894947004988,1319.0,True,2026-04-25T16:10:28Z,Б/у,,,,,,,,,Минск,,,,,,
1066345301,Ноутбук,1.0,False,2026-04-25T16:08:07Z,Б/у,ASUS,,,,,,,,Гомельская область,,,,,,
1065619134,Игровой ноутбук ASUS TUF GAMING F15,2200.0,False,2026-04-25T16:07:26Z,Б/у,ASUS,Intel Core i5,512 Гб,SSD,,Windows 10,,NVIDIA GeForce RTX 3050 4 ГБ,Минск,Да,IPS,1920 х 1080,16 Гб,DDR4,
1065771184,Ноутбук Xiaomi Mi Gaming Laptop,2450.0,False,2026-04-25T16:05:44Z,Б/у,Xiaomi,Intel Core i7,1000 Гб,HDD,15.6'' / 39.6 см,,Дискретная,NVIDIA GeForce RTX 2060 6 ГБ,Минск,Да,IPS,1920 х 1080,64 Гб,DDR4,1-2 часа
1064969178,Игровой ноут MSI (скорее на ЗП),499.0,False,2026-04-25T16:02:59Z,Б/у,MSI,Intel Core i5,512 Гб,SSD,15.6'' / 39.6 см,,Дискретная,NVIDIA GeForce RTX 3050 4 ГБ,Витебская область,Да,IPS,1920 х 1080,8 Гб,DDR4,
1066344841,"Недорого, Практически новый ноутбук i7, ssd 1000gd",999.0,False,2026-04-25T16:01:54Z,Б/у,Lenovo,Intel Core i7,1000 Гб,SSD,14.0'' / 35.6 см,Windows 11,Встроенная и дискретная,NVIDIA GeForce MX350,Гомельская область,,IPS,1920 х 1080,16 Гб,LPDDR4,6-10 часов
1063373648,Lenovo Legion 5 Pro 16ACH,2800.0,False,2026-04-25T16:01:46Z,Б/у,Lenovo,AMD Ryzen 5,,SSD,16'' / 40.6 см,,Дискретная,NVIDIA GeForce RTX 3060 6 ГБ,Минск,Да,IPS,2560 х 1440,16 Гб,,
1066344498,Ноутбуки Digma E602 на з/ч,190.0,False,2026-04-25T15:57:43Z,Б/у,,,,,15.6'' / 39.6 см,,,,Минск,,,,2 Гб,DDR3L,
149682928,Ноутбук с гарантией,200.0,True,2026-04-25T15:56:40Z,Б/у,ASUS,,,,15.6'' / 39.6 см,,,,Витебская область,,,,,,
1065950594,Ноутбук ASUS Vivobook X556UQ,650.0,False,2026-04-25T15:55:41Z,Б/у,ASUS,Intel Core i5,1000 Гб,HDD + SSD,15.6'' / 39.6 см,Windows 10,Встроенная и дискретная,NVIDIA GeForce 940MX 2 ГБ,Минск,,TN + Film,1920 х 1080,16 Гб,DDR4,4-6 часов
